pair_id,score
5,0.0007207044849944471
6,0.000313317194820294
7,0.0004030259282341123
8,0.00039973552587647346
16,-2.4356665296753136e-05
17,0.000666444788930095
19,0.0011762795233217038
33,0.0018797850697973202
36,-0.001092588493134881
40,0.0030806718093568633
43,0.00035703073268788946
44,9.571215407311881e-06
45,7.147501430285414e-05
46,0.0004058750545628386
47,0.009206782061221126
65,0.00017035712297988755
66,0.0001654113518906103
67,5.712472637793407e-05
68,-0.00333421512816744
69,-8.311463323552328e-05
70,-0.05393485283651742
86,0.00023644507583773968
87,-0.0035865071424677655
94,0.00019407843797049595
99,0.0005101977045624577
101,0.0005285068346395393
