pair_id,score
22,0.00024911599930784844
23,-8.517815561077274e-05
42,0.004625832954992267
74,0.003085391941061875
9,0.00044145194338453904
13,0.00029215021478511713
14,0.00032905495590641393
25,9.69694631031064e-05
26,0.00674799752727704
27,0.005586083407960463
28,0.0015969145001391268
32,0.00271207614138965
34,0.0014992148685021882
35,0.00032708253018130123
38,0.004101132479624577
39,0.0026958050053359304
41,0.002272716732845739
77,0.0014447088304502284
85,0.00016856555026028354
91,0.000268959450361485
95,0.0021784379336765186
96,-0.0008908743139831293
97,-0.0003703593572727013
98,0.0028173822926254263
100,0.0003583086247832336
